"destinatario","direccion","latitud","longitud"
"Acacia Ridge Leisure Centre","1391 Beaudesert Road, Acacia Ridge",-27.58616,153.026354
"Bellbowrie","Sugarwood Street, Bellbowrie",-27.565466,152.891082
"Centenary (inner City)","400 Gregory Terrace, Spring Hill",-27.455369,153.025067
"Chermside","375 Hamilton Road, Chermside",-27.385829,153.035109
"Colmslie (Morningside)","400 Lytton Road, Morningside",-27.45516,153.078861
"Spring Hill (inner City)","14 Torrington Street, Springhill",-27.459596,153.021548
"Dunlop Park (Corinda)","794 Oxley Road, Corinda",-27.546519,152.980628
"Fortitude Valley ","432 Wickham Street, Fortitude Valley",-27.4539,153.0368
"Hibiscus Sports Complex (upper MtGravatt)","90 Klumpp Road, Upper Mount Gravatt",-27.551826,153.07354
"Ithaca ( Paddington)","131 Caxton Street, Paddington",-27.462262,153.010347
"Jindalee","11 Yallambee Road, Jindalee",-27.532363,152.942691
"Manly","1 Fairlead Crescent, Manly",-27.452285,153.187437
"Mt Gravatt East Centre","Cnr wecker Road and Newnham Road, Mansfield",-27.532135,153.094289
"Musgrave Park","100 Edmonstone Street, South Brisbane",-27.479777,153.016806
"Newmarket","71 Alderson Stret, Newmarket",-27.42968,153.006206
"Runcorn","37 Bonemill Road, Runcorn",-27.591561,153.076415
"Sandgate","231 Flinders Parade, Sandgate",-27.311956,153.069098
"Langlands Parks (Stones Corner)","5 Panitya Street, Stones Corner",-27.497689,153.04867
"Yeronga Park","81 School Road, Yeronga",-27.520527,153.018544
